Variable,Unidades,Tiempo de exposicion (horas),Year,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Minimo,Dias de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estacion
NO2,ugm3,1,2020,34.2,281215.7689,8234,94.0,0,0.0,31.4,77.7,127.4,0.1,0,ANTIOQUIA,SABANETA,Fija
PM10,ugm3,24,2020,32.9,1019.4,31,8.0,0,0.0,32.7,44.8,45.7,13.6,0,MAGDALENA,CIENAGA,Fija
SO2,ugm3,24,2020,7.3,2197.27,302,83.0,0,0.0,6.5,16.3,23.0,1.4,0,CUNDINAMARCA,FUNZA,Fija
DViento,deg,1,2020,55.8,637473.955,6961,79.0,0,0.0,59.3,336.4,359.9,0.0,0,ATLANTICO,BARRANQUILLA,Fija
DViento,deg,24,2020,59.9,25062.37,287,78.0,0,0.0,60.5,354.1,359.5,4.1,0,ATLANTICO,BARRANQUILLA,Fija
HAire10,perc,1,2020,79.0,553472.09,7007,80.0,0,0.0,80.3,95.0,99.4,0.0,0,ATLANTICO,BARRANQUILLA,Fija
HAire10,perc,24,2020,79.0,22668.34,287,78.0,0,0.0,78.7,88.4,93.4,69.3,0,ATLANTICO,BARRANQUILLA,Fija
NO,ugm3,1,2020,1.9,355.937,191,2.0,0,0.0,1.7,5.2,6.7,0.0,0,ATLANTICO,BARRANQUILLA,Fija
PLiquida,mm,1,2020,0.1,652.4,8461,96.0,0,0.0,0.0,0.2,54.4,0.0,0,ATLANTICO,BARRANQUILLA,Fija
PLiquida,mm,24,2020,1.9,652.2,348,95.0,0,0.0,0.0,26.1,61.8,0.0,0,ATLANTICO,BARRANQUILLA,Fija
P,mmHg,1,2020,975.6,468289.64,480,5.0,0,0.0,1003.6,1006.7,1008.0,0.0,0,ATLANTICO,BARRANQUILLA,Fija
P,mmHg,24,2020,988.4,15814.12,16,4.0,0,0.0,1003.6,1005.7,1005.9,755.1,0,ATLANTICO,BARRANQUILLA,Fija
RGlobal,Wm2,1,2020,332.2,1246261.695,3752,43.0,0,0.0,282.9,800.5,949.7,0.0,0,ATLANTICO,BARRANQUILLA,Fija
RGlobal,Wm2,24,2020,176.7,1413.89,8,2.0,0,0.0,192.3,278.5,288.8,74.6,0,ATLANTICO,BARRANQUILLA,Fija
TAire10,Celsius,1,2020,26.6,227080.325,8540,97.0,0,0.0,26.4,30.9,33.6,9.8,0,ATLANTICO,BARRANQUILLA,Fija
TAire10,Celsius,24,2020,26.6,9356.87,352,96.0,0,0.0,26.6,28.3,28.9,23.0,0,ATLANTICO,BARRANQUILLA,Fija
VViento,ms,1,2020,0.3,2625.15,8135,93.0,0,0.0,0.0,2.6,4.9,0.0,0,ATLANTICO,BARRANQUILLA,Fija
VViento,ms,24,2020,0.3,107.23,329,90.0,0,0.0,0.1,1.8,2.4,0.0,0,ATLANTICO,BARRANQUILLA,Fija
SO2,ugm3,1,2020,7.3,52358.43,7182,82.0,0,0.0,5.0,28.9,76.0,0.2,0,CUNDINAMARCA,FUNZA,Fija
SO2,ugm3,1,2020,7.3,35331.8229,4861,55.0,6,0.12,4.6,33.3,221.6,0.0,6,VALLE DEL CAUCA,CALI,Fija
NO,ugm3,1,2020,21.2,32429.42043,1531,17.0,0,0.0,13.1,93.6,191.8,0.4,0,BOGOTA,BOGOTA,Fija
PM10,ugm3,1,2021,25.4,17949.5,708,8.0,0,0.0,23.0,54.1,73.5,4.1,0,SANTANDER,PIEDECUESTA,Fija
HAire2,perc,24,2021,73.5,20139.68,274,75.0,0,0.0,75.9,92.0,97.3,34.1,0,BOYACA,SOGAMOSO,Fija
NO,ugm3,1,2020,10.5,18219.78015,1743,20.0,0,0.0,2.5,60.3,147.5,0.1,0,BOGOTA,BOGOTA,Fija
